id,fecha,producto,destino,precio_mp_kg,porcentaje_descarte,costo_maquila,flete_maritimo,tipo_cambio,costo_agenciamiento,costo_sli,cajas_contenedor,precio_fob_caja,costo_total_contenedor,resultado_operacion
1,2024-01-10,Palta Hass,España,4.20,0.12,8.50,3200,3.72,1800,2200,1200,28.50,38500,GANANCIA
2,2024-01-15,Palta Hass,EE.UU.,4.50,0.10,8.50,2800,3.75,1600,2000,1200,30.00,36800,GANANCIA
3,2024-01-20,Palta Fuerte,España,3.80,0.15,8.00,3200,3.70,1800,2200,1100,25.00,34200,GANANCIA
4,2024-01-25,Mandarina Malvacea,Países Bajos,2.10,0.20,7.00,3400,3.68,1900,2300,1400,18.00,28500,PERDIDA
5,2024-02-01,Palta Hass,México,4.10,0.13,8.50,2200,3.74,1500,1900,1200,27.00,33400,GANANCIA
6,2024-02-05,Palta Hass,EE.UU.,4.80,0.08,8.50,2800,3.76,1600,2000,1200,32.00,38200,GANANCIA
7,2024-02-10,Palta Fuerte,México,3.60,0.18,8.00,2200,3.72,1500,1900,1100,23.00,29800,EMPATE
8,2024-02-15,Mandarina Malvacea,España,2.30,0.22,7.00,3200,3.70,1800,2200,1400,19.50,30200,PERDIDA
9,2024-02-20,Palta Hass,Países Bajos,4.30,0.11,8.50,3400,3.73,1900,2300,1200,29.00,39100,GANANCIA
10,2024-02-25,Palta Hass,España,4.60,0.09,8.50,3200,3.75,1800,2200,1200,31.00,40200,GANANCIA
11,2024-03-01,Palta Fuerte,EE.UU.,3.90,0.14,8.00,2800,3.74,1600,2000,1100,26.00,32800,GANANCIA
12,2024-03-05,Mandarina Malvacea,México,1.95,0.25,7.00,2200,3.71,1500,1900,1400,17.00,26800,PERDIDA
13,2024-03-10,Palta Hass,EE.UU.,5.10,0.07,8.50,2800,3.77,1600,2000,1200,34.00,42500,GANANCIA
14,2024-03-15,Palta Hass,España,3.90,0.15,8.50,3200,3.72,1800,2200,1200,26.00,35600,GANANCIA
15,2024-03-20,Palta Fuerte,Países Bajos,4.10,0.12,8.00,3400,3.73,1900,2300,1100,27.50,35900,GANANCIA
16,2024-03-25,Mandarina Malvacea,EE.UU.,2.20,0.18,7.00,2800,3.74,1600,2000,1400,18.50,29400,PERDIDA
17,2024-04-01,Palta Hass,México,4.40,0.10,8.50,2200,3.75,1500,1900,1200,29.50,34800,GANANCIA
18,2024-04-05,Palta Hass,EE.UU.,4.70,0.09,8.50,2800,3.76,1600,2000,1200,31.50,39500,GANANCIA
19,2024-04-10,Palta Fuerte,España,3.70,0.16,8.00,3200,3.71,1800,2200,1100,24.50,32100,GANANCIA
20,2024-04-15,Palta Hass,Países Bajos,4.90,0.08,8.50,3400,3.77,1900,2300,1200,33.00,43200,GANANCIA
21,2024-04-20,Mandarina Malvacea,España,2.40,0.20,7.00,3200,3.70,1800,2200,1400,20.00,31500,EMPATE
22,2024-04-25,Palta Hass,España,4.10,0.13,8.50,3200,3.73,1800,2200,1200,27.50,37200,GANANCIA
23,2024-05-01,Palta Fuerte,México,3.50,0.19,8.00,2200,3.72,1500,1900,1100,22.50,28900,EMPATE
24,2024-05-05,Palta Hass,EE.UU.,5.20,0.07,8.50,2800,3.78,1600,2000,1200,35.00,44100,GANANCIA
25,2024-05-10,Mandarina Malvacea,Países Bajos,2.05,0.23,7.00,3400,3.69,1900,2300,1400,17.50,27600,PERDIDA
26,2024-05-15,Palta Hass,México,4.20,0.12,8.50,2200,3.74,1500,1900,1200,28.00,33900,GANANCIA
27,2024-05-20,Palta Fuerte,EE.UU.,4.00,0.13,8.00,2800,3.75,1600,2000,1100,26.50,33500,GANANCIA
28,2024-05-25,Palta Hass,España,4.80,0.08,8.50,3200,3.76,1800,2200,1200,32.50,41800,GANANCIA
29,2024-06-01,Mandarina Malvacea,México,2.15,0.21,7.00,2200,3.71,1500,1900,1400,18.00,27200,PERDIDA
30,2024-06-05,Palta Hass,Países Bajos,4.40,0.10,8.50,3400,3.74,1900,2300,1200,29.50,40100,GANANCIA
31,2024-06-10,Palta Fuerte,España,3.80,0.15,8.00,3200,3.72,1800,2200,1100,25.50,33200,GANANCIA
32,2024-06-15,Palta Hass,EE.UU.,4.60,0.09,8.50,2800,3.75,1600,2000,1200,31.00,38900,GANANCIA
33,2024-06-20,Palta Hass,México,3.80,0.16,8.50,2200,3.73,1500,1900,1200,25.50,32100,GANANCIA
34,2024-06-25,Mandarina Malvacea,España,2.35,0.19,7.00,3200,3.70,1800,2200,1400,19.50,30800,PERDIDA
35,2024-07-01,Palta Hass,EE.UU.,5.00,0.07,8.50,2800,3.77,1600,2000,1200,33.50,42800,GANANCIA
36,2024-07-05,Palta Fuerte,Países Bajos,3.90,0.14,8.00,3400,3.73,1900,2300,1100,26.00,34800,GANANCIA
37,2024-07-10,Palta Hass,España,4.30,0.11,8.50,3200,3.74,1800,2200,1200,29.00,38600,GANANCIA
38,2024-07-15,Mandarina Malvacea,EE.UU.,2.25,0.17,7.00,2800,3.74,1600,2000,1400,19.00,29800,PERDIDA
39,2024-07-20,Palta Hass,México,4.50,0.10,8.50,2200,3.75,1500,1900,1200,30.50,35400,GANANCIA
40,2024-07-25,Palta Fuerte,México,3.60,0.17,8.00,2200,3.72,1500,1900,1100,23.50,29500,EMPATE
41,2024-08-01,Palta Hass,Países Bajos,4.70,0.09,8.50,3400,3.76,1900,2300,1200,31.50,41500,GANANCIA
42,2024-08-05,Palta Hass,España,4.20,0.12,8.50,3200,3.73,1800,2200,1200,28.50,38100,GANANCIA
43,2024-08-10,Mandarina Malvacea,Países Bajos,2.10,0.22,7.00,3400,3.70,1900,2300,1400,17.50,27900,PERDIDA
44,2024-08-15,Palta Fuerte,EE.UU.,4.10,0.12,8.00,2800,3.75,1600,2000,1100,27.50,34100,GANANCIA
45,2024-08-20,Palta Hass,EE.UU.,4.90,0.08,8.50,2800,3.77,1600,2000,1200,33.00,41900,GANANCIA
46,2024-08-25,Palta Hass,México,4.00,0.14,8.50,2200,3.74,1500,1900,1200,27.00,33100,GANANCIA
47,2024-09-01,Palta Fuerte,España,3.70,0.16,8.00,3200,3.71,1800,2200,1100,24.50,32400,GANANCIA
48,2024-09-05,Mandarina Malvacea,México,2.00,0.24,7.00,2200,3.70,1500,1900,1400,17.00,26500,PERDIDA
49,2024-09-10,Palta Hass,Países Bajos,4.50,0.10,8.50,3400,3.75,1900,2300,1200,30.50,40800,GANANCIA
50,2024-09-15,Palta Hass,España,4.60,0.09,8.50,3200,3.76,1800,2200,1200,31.50,41200,GANANCIA
